date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:00:01	33112/33112	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Oct%202020%2005:52:26%20GMT	https://validthemes.live//themeforest/digilab/services-3.html	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/services-3.html	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:01	31218/31218	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Oct%202020%2005:52:28%20GMT	https://validthemes.live//themeforest/digilab/services-4.html	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/services-4.html	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:02	23654/23654	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Oct%202020%2005:51:54%20GMT	https://validthemes.live//themeforest/digilab/case-studies.html	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/case-studies.html	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:03	24031/24031	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Oct%202020%2005:51:46%20GMT	https://validthemes.live//themeforest/digilab/blog-standard.html	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/blog-standard.html	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:03	35064/35064	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Oct%202020%2005:51:50%20GMT	https://validthemes.live//themeforest/digilab/blog-with-sidebar.html	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/blog-with-sidebar.html	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:04	26208/26208	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Oct%202020%2005:51:34%20GMT	https://validthemes.live//themeforest/digilab/blog-2-colum.html	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/blog-2-colum.html	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:04	28187/28187	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Oct%202020%2005:51:38%20GMT	https://validthemes.live//themeforest/digilab/blog-3-colum.html	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/blog-3-colum.html	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:05	31049/31049	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Oct%202020%2005:51:44%20GMT	https://validthemes.live//themeforest/digilab/blog-single.html	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/blog-single.html	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:06	40300/40300	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Oct%202020%2005:51:40%20GMT	https://validthemes.live//themeforest/digilab/blog-single-with-sidebar.html	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/blog-single-with-sidebar.html	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:07	19500/19500	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Oct%202020%2020:42:30%20GMT	https://validthemes.live//themeforest/digilab/assets/img/shape/13.png	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/assets/img/shape/13.png	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:07	24147/24147	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Oct%202020%2021:10:24%20GMT	https://validthemes.live//themeforest/digilab/assets/img/illustration/2.png	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/assets/img/illustration/2.png	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:08	11399/11399	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Aug%202020%2022:41:12%20GMT	https://validthemes.live//themeforest/digilab/assets/img/shape/4.png	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/assets/img/shape/4.png	(from https://validthemes.live//themeforest/digilab/index-1.html)
